id,name,latitude,longitude,country,state,city,type,holes,par,phone,website,year_built,address,postal_code,architect,total_yardage,osm_id,updated_at,hole_1_par,hole_2_par,hole_3_par,hole_4_par,hole_5_par,hole_6_par,hole_7_par,hole_8_par,hole_9_par,hole_10_par,hole_11_par,hole_12_par,hole_13_par,hole_14_par,hole_15_par,hole_16_par,hole_17_par,hole_18_par,hole_1_hcp,hole_2_hcp,hole_3_hcp,hole_4_hcp,hole_5_hcp,hole_6_hcp,hole_7_hcp,hole_8_hcp,hole_9_hcp,hole_10_hcp,hole_11_hcp,hole_12_hcp,hole_13_hcp,hole_14_hcp,hole_15_hcp,hole_16_hcp,hole_17_hcp,hole_18_hcp
15215816-f71c-45dc-8546-c17c471268e8,Metropolis Country Club,37.1879645,-88.6989047,US,IL,,Private,13,71,,,,Meyers,62960,,6128,1130869341,2026-04-17T12:55:35.607716+00:00,4,4,,4,4,3,,,5,4,3,4,4,4,,3,5,,12,10,,6,2,18,,,4,1,15,11,13,17,,9,3,
0e1e596d-8e86-4ff8-90e9-6a439a0ba271,Egyptian Country Club,37.142398,-89.1890226,US,IL,Mounds,Semi-Private,6,36,,,,Old US Highway 51,62996,,3042,1055837085,2026-04-15T22:09:16.005505+00:00,4,4,5,4,4,,,,3,,,,,,,,,,18,12,4,16,2,,,,8,,,,,,,,,
c4ba81b6-ac7b-4158-808a-1806500b665b,The Hills Golf Club at McKendree University,38.6062228,-89.8237604,US,IL,Lebanon,Public,15,72,+1-618-537-4590,https://www.mckendree.edu/thehills/,,1015 Belleville Street,62254,"Tim Nugent, Dick Nugent, Drew Rogers",7118,295678326,2026-04-15T22:09:16.583179+00:00,5,4,,3,4,5,4,4,3,4,5,4,,4,,4,3,4,3,5,,11,1,7,9,13,15,14,6,10,,16,,2,12,8
ef5f5933-c47a-4efa-9729-5157fcbe015d,Dalhousie Golf Club,37.2671332,-89.6019467,US,IL,Cape Girardeau,Private,16,72,+1 573 332 0818,https://dalhousiegolfclub.com/,,4700 Cord's Way,63701,"Gary Nicklaus, Gus Grantham",7389,399063750,2026-04-15T22:09:17.140142+00:00,4,5,4,4,3,4,5,3,,4,3,4,3,,5,4,4,5,11,3,7,9,13,17,1,15,,10,14,8,18,,16,4,2,6
36f612a2-c77f-4aa0-a27d-943380596356,Perryville Country Club,37.714837,-89.8790563,US,IL,Perryville,Semi-Private,6,34,,,,Four D Court,63775,,5679,218843731,2026-04-17T12:55:36.030997+00:00,4,5,,4,3,,4,,3,,,,,,,,,,4,2,,6,18,,8,,14,,,,,,,,,
a2269325-c392-4ad4-ae30-e825b1f5e4b7,Jackson County Country Club,37.7520927,-89.2810285,US,IL,Murphysboro,Semi-Private,15,71,+1 618 684 2387,https://www.jacksonccc.com/,,5776 Country Club Road,62966,David Gill,6533,677102712,2026-04-15T22:09:17.717676+00:00,4,4,,3,3,5,3,4,4,5,4,4,,4,,3,4,4,5,9,,11,15,1,17,7,13,2,6,12,,14,,8,10,18
d7537775-81b4-4262-a507-7efc324dc7ea,Carleton Glen Golf Club,42.0715384,-83.3756879,US,MI,Ash Township,Public,14,71,+1-734-654-6201,http://www.carletonglengolf.com/,1960,Albert Drive,48117,,,294999849,2026-04-15T22:09:18.299876+00:00,4,4,4,3,4,5,4,,3,4,,5,3,4,,4,4,,11,3,9,13,5,15,1,,17,4,,16,18,10,,14,12,
48ff23c0-4c7d-4614-8e9c-516b22bdb82f,The Olympic Club Lake Course,37.7138375773,-122.4927520752,US,CA,San Francisco,Private/Resort,15,71,,http://www.olyclub.com,1924,599 Skyline Boulevard,94132,,,,2026-04-17T13:13:51.44437+00:00,5,4,3,4,4,4,,,4,4,4,4,3,4,3,5,5,,13,5,11,3,1,7,,,9,10,4,8,16,6,18,2,14,
c5c5cd54-0898-4e66-9601-89ea574c04b8,Silos Golf Course,37.0146228,-88.827285,US,IL,,Semi-Private,15,72,,,,KY 286,42060,Jerry Lemons,6811,1055836778,2026-04-15T22:09:19.4248+00:00,4,4,4,5,3,,5,,4,4,5,4,3,4,,4,3,5,4,12,2,8,16,,10,,6,13,17,11,7,1,,5,15,9
d7b8656f-7412-450e-a8d7-193d63308b27,Orchard Creek Public Golf Club,42.7228037573,-74.0130901337,US,NY,Altamont,Public,12,71,(518) 861-5000,http://www.orchardcreek.com,1999,Dunnsville Road,12009,,,,2026-04-15T22:09:20.586026+00:00,5,4,,4,4,3,,3,4,4,,4,,4,,,3,5,8,2,,10,14,18,,16,12,13,,11,,15,,,9,7
